time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-01 00:00:00+00:00,16,7,1,1
2026-08-02 00:00:00+00:00,30,10,0,0
2026-08-03 00:00:00+00:00,11,4,11,2
2026-08-04 00:00:00+00:00,12,5,80,1
2026-08-05 00:00:00+00:00,6,6,49,3
2026-08-06 00:00:00+00:00,2,2,21,2
2026-08-07 00:00:00+00:00,10,5,24,2
2026-08-08 00:00:00+00:00,18,5,0,0
2026-08-09 00:00:00+00:00,12,6,0,0
2026-08-10 00:00:00+00:00,2,2,16,1
2026-08-11 00:00:00+00:00,2,2,15,1
2026-08-12 00:00:00+00:00,2,2,8,2
2026-08-13 00:00:00+00:00,4,4,1,1
2026-08-14 00:00:00+00:00,4,4,32,1
