time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-06 00:00:00+00:00,17,7,0,0
2026-06-07 00:00:00+00:00,32,13,0,0
2026-06-08 00:00:00+00:00,96,19,18,2
2026-06-09 00:00:00+00:00,52,16,1,1
2026-06-10 00:00:00+00:00,17,9,0,0
2026-06-11 00:00:00+00:00,63,22,28,4
2026-06-12 00:00:00+00:00,49,17,9,2
2026-06-13 00:00:00+00:00,17,7,0,0
2026-06-14 00:00:00+00:00,35,10,0,0
2026-06-15 00:00:00+00:00,34,14,14,2
2026-06-16 00:00:00+00:00,42,9,0,0
2026-06-17 00:00:00+00:00,22,8,0,0
2026-06-18 00:00:00+00:00,26,7,2,2
2026-06-19 00:00:00+00:00,31,7,4,1
